Dashboard	创作总览
Projects	项目管理
Import & Backup	导入、导出与备份
Autopilot	自动创作
Skills & Libraries	写作技能与资料库
New Novel	新建小说
Chapters	章节管理
Versions	章节版本
Foreshadows	伏笔管理
Secrets	秘密与知情关系
Models	模型
Logs	日志
Settings	设置
打开导航	Open navigation
切换主题	Toggle theme
NovelForge · authoritative state from local server	NovelForge · 本地服务权威状态
AI Inspector	状态检查
此面板只显示已接入的服务能力；未实现的生成动作不会显示假按钮。	Inspect connected services and current workspace status.	查看已接入服务与当前工作台状态。
SSE	实时事件连接
事件缓存	Buffered events
权威状态	Authoritative state
server	本地服务
OpenAPI 3.1	OpenAPI 3.1
任务和日志	Tasks and logs
Task / Log	任务与日志
connection={p0}	连接：{p0}
latest={p0}{p1}	最新事件：{p0}{p1}
等待持久化事件…	Waiting for persisted events…
关闭导航	Close navigation
N	N
NovelForge	NovelForge
Long-form story system	长篇小说创作系统
主导航	Main navigation
Local-first	本地优先
API Key 不进入静态 JavaScript、SSE 或浏览器持久化。	API keys are never stored in static JavaScript, event streams or browser storage.	API 密钥不进入静态脚本、事件流或浏览器存储。
Skills · 风格库 · 资料库	Writing skills and libraries	写作技能与资料库
Markdown 写作方法与参考资料，不是小说事实。不会执行脚本、访问资料链接或绕过定稿审核。	Markdown writing methods and references are not story facts. They cannot run scripts, visit links or bypass final review.
小说项目	Novel project
选择项目	Select a project
资源分类	Resource category
Skills	写作技能
风格库	Style library
资料库	Reference library
正在读取或提交…	Loading or saving…
项目资源修订 {p0} · 当前分类共 {p1} 项。任务运行中需先暂停才能编辑；规划后变更会触发旧计划保护。	Resource revision {p0} · {p1} entries in this category. Pause running jobs before editing. Changes after planning trigger stale-plan protection.
内置 Markdown Skills（只读；自定义规则作为补充）	Built-in Markdown skills (read-only; custom rules supplement them)	内置 Markdown 写作技能（只读；自定义规则作为补充）
资源列表	Resource list
项目资源	Project resources
新建资源	New resource
启用	Enabled
停用	Disabled
· 置顶	· Pinned
此分类尚无自定义资源。	No custom resources in this category.
上一页	Previous page
下一页	Next page
资源编辑	Resource editor
编辑资源	Edit resource
标题	Title
Skill 类型	Skill type	技能类型
写作 Writing	Writing	写作
审稿 Review	Review	审稿
润色 Polish	Polish	润色
规划 Planning	Planning	规划
Markdown 内容（最多 16 KiB）	Markdown content (up to 16 KiB)
导入单份 Markdown	Import a Markdown file
来源说明（只作文本记录，不自动访问）	Source note (text only; never visited automatically)
优先级	Priority
可用起始章	Available from chapter
限定 POV（可空）	POV restriction (optional)	限定视角人物（可空）
置顶候选	Pin as context candidate
保存资源	Save resource
确认删除当前资源	Confirm deletion of this resource
删除资源	Delete resource
检索预览	Search preview
只返回已启用且符合章节／POV 范围的当前分类资料。实际模型上下文仍受预算裁剪；每类最多检索 6 项，加最多 6 项置顶候选。	Returns enabled resources in this category matching the chapter and POV. Model context is still budget-limited: up to 6 search results and 6 pinned candidates per category.	仅返回已启用且符合章节与视角范围的当前分类资料。模型上下文仍受预算裁剪；每类最多检索 6 项，加最多 6 项置顶候选。
查询词	Search terms
预览章节	Preview chapter
预览 POV	Preview POV	预览视角人物
检索当前分类	Search this category
写作规则	Writing rules
表达与重复规则	Expression and repetition rules
只生成可解释的编辑建议，不判定作品是否由 AI 写成，不自动扣分或绕过一致性门禁。跨章比较最多使用前 3 章有效定稿的前 48,000 字符。	Produces explainable editing advice, not AI authorship detection, automatic penalties or continuity bypasses. Cross-chapter comparison uses up to 48,000 characters from the previous 3 valid final chapters.
启用规则检查	Enable rule checks
关注词组（每行一个，最多 32 个）	Watched phrases (one per line, up to 32)
单章词组次数上限	Maximum phrase occurrences per chapter
同句次数上限	Maximum sentence repetitions
最短比较句长	Minimum sentence length
比较前文章数	Previous chapters to compare
保存规则	Save rules
试检文本（使用已保存规则与上面的预览章节，不调用模型）	Test text (uses saved rules and the preview chapter; no model call)
检查表达与重复	Check expression and repetition
规则修订 {p0} · {p1} 项建议{p2}	Rule revision {p0} · {p1} suggestions{p2}
（结果已截断）	(results truncated)
操作失败	Operation failed
已保存到当前项目。新请求使用更新；已有请求保留其选定资料。	Saved to this project. New requests use the update; existing requests retain their selected resources.
仅支持不超过 16 KiB 的 Markdown 文件	Only Markdown files up to 16 KiB are supported
持久化任务 → Foundation → 章节计划 → 质量门禁 → 版本定稿。模型调用可能产生费用。	Persistent job → story foundation → chapter plan → quality checks → final version. Model calls may incur charges.	持久化任务 → 创作基础规划 → 章节计划 → 质量检查 → 版本定稿。模型调用可能产生费用。
Worker 未运行；不会启动或恢复模型任务。	The task worker is not running. Model jobs cannot start or resume.	任务执行器未运行；不会启动或恢复模型任务。
